Price,Close,High,Low,Open,Volume
Ticker,SAN,SAN,SAN,SAN,SAN
Date,,,,,
2020-01-02,3.757269859313965,3.7572698593139653,3.687690442242215,3.7224803581398738,8285800
2020-01-03,3.6442039012908936,3.6702958207272443,3.635506318329722,3.635506318329722,6606900
2020-01-06,3.6615984439849854,3.6615984439849854,3.609414193360262,3.6181113611026037,5867500
2020-01-07,3.5920193195343018,3.626808818753519,3.5920193195343018,3.618111236586943,7084600
2020-01-08,3.583322048187256,3.6181115504241355,3.583322048187256,3.5920196311082657,7896500
2020-01-09,3.6094143390655518,3.626809089975986,3.592019588155117,3.626809089975986,7702400
2020-01-10,3.557229995727539,3.59201949666228,3.5485324131320715,3.59201949666228,7573400
2020-01-13,3.5659267902374268,3.5659267902374268,3.5050453773378587,3.531137292945239,6670700
2020-01-14,3.4615585803985596,3.487650912855388,3.4615585803985596,3.4702559554302432,9973100
2020-01-15,3.426769495010376,3.4528616232633316,3.4180721189260574,3.444164247179013,11049000
2020-01-16,3.5050456523895264,3.5137428200333063,3.4789533200110796,3.4876509023784132,8555700
2020-01-17,3.548532247543335,3.548532247543335,3.5137427482320116,3.548532247543335,6442700
2020-01-21,3.4528613090515137,3.496348185515783,3.4528613090515137,3.4789534349300753,7871700
2020-01-22,3.4441635608673096,3.4528609352185193,3.40067668911126,3.4180714378136794,9561500
2020-01-23,3.4441635608673096,3.4528609352185193,3.40067668911126,3.4441635608673096,10291700
2020-01-24,3.374584674835205,3.42676892262459,3.3484923435787444,3.42676892262459,11085200
2020-01-27,3.3137030601501465,3.3484925609346443,3.296308309757898,3.3137030601501465,7727500
2020-01-28,3.374584674835205,3.3919794240983334,3.33979496894718,3.3484923435787444,9326500
2020-01-29,3.5224406719207764,3.548532591572097,3.505045920578701,3.5311378402300213,12985000
2020-01-30,3.548532247543335,3.548532247543335,3.4702558740928575,3.4789532489206882,12810700
2020-01-31,3.409374237060547,3.435466361442732,3.3919794874724234,3.4180716118546086,12883800
2020-02-03,3.400676965713501,3.4267690908893966,3.383282215596237,3.391979590654869,7640000
2020-02-04,3.4876511096954346,3.5137430289013136,3.4876511096954346,3.4963482778562014,6576400
2020-02-05,3.600717067718506,3.600717067718506,3.574625146457633,3.592019898872752,9067800
2020-02-06,3.6355059146881104,3.6529006639555734,3.6094139981486832,3.6529006639555734,10217800
2020-02-07,3.6268086433410645,3.6442033921093673,3.609413894572762,3.6268086433410645,7485700
2020-02-10,3.6094143390655518,3.6181115071589813,3.5833220053381125,3.6007167562485467,5633100
2020-02-11,3.6268086433410645,3.6442033921093673,3.609413894572762,3.6268086433410645,6534000
2020-02-12,3.6963882446289062,3.70508582780124,3.6789934930078316,3.687690661456573,8628800
2020-02-13,3.6789932250976562,3.6876903929130562,3.652900892204334,3.670295642558695,8197800
2020-02-14,3.6355059146881104,3.678992995218536,3.6268087474161463,3.6702954132230365,6296100
2020-02-18,3.6181116104125977,3.6529011132262887,3.609414442070968,3.635506361819443,8549000
2020-02-19,3.6268086433410645,3.6529005591317567,3.6181110615951515,3.6442033921093673,4967600
2020-02-20,3.600717067718506,3.6268094037029894,3.565927562888268,3.618111820133625,6714900
2020-02-21,3.5137429237365723,3.539835256885098,3.496348173212077,3.5137429237365723,8593800
2020-02-24,3.36588716506958,3.3832821220677505,3.3397950406149834,3.357189790251381,10308500
2020-02-25,3.244123935699463,3.339795059232979,3.2180318110994133,3.339795059232979,19060900
2020-02-26,3.2702159881591797,3.3484923602325676,3.2702159881591797,3.313702861533284,16027800
2020-02-27,3.1745450496673584,3.2876109269553813,3.1745450496673584,3.2006371751953635,20715300
2020-02-28,3.183242082595825,3.2006368310776256,3.087570758584165,3.131057629788666,21864700
2020-03-02,3.183242082595825,3.1919394568367254,3.061478635861465,3.1136628813068654,21305300
2020-03-03,3.070176362991333,3.2441240751648084,3.052781612510164,3.2180319494430543,23705700
2020-03-04,3.2093346118927,3.218031987235426,3.0962685250754762,3.1484527771318325,14461400
2020-03-05,2.9571104049682617,3.0266894050130473,2.948413029962664,3.009294655001851,19737700
2020-03-06,2.9571104049682617,3.000597279996253,2.9049259475728957,2.948413029962664,19321400
2020-03-09,2.583122968673706,2.713583598993518,2.5570308426097434,2.6092150947376687,13181900
2020-03-10,2.713583469390869,2.730978426631167,2.5657280954234247,2.7222810516919056,16416800
2020-03-11,2.583122968673706,2.687491472929556,2.5570308426097434,2.6613993468655934,22938300
2020-03-12,2.1917405128479004,2.3656882153866707,2.1656483885713507,2.3656882153866707,23908500
2020-03-13,2.3569908142089844,2.3656881888703483,2.1047667416676723,2.348293439547621,16711600
2020-03-16,1.9134242534637451,2.017792747311447,1.8351476757162044,1.8351476757162044,17817100
2020-03-17,2.104767084121704,2.104767084121704,1.878635098771903,1.9221219791542106,12795500
2020-03-18,1.8786349296569824,1.9656086825922108,1.774266218772925,1.9395165567116424,11017700
2020-03-19,1.8960297107696533,1.9308192125038472,1.8612402090354594,1.8786349599025562,8780500
2020-03-20,1.9047269821166992,1.965608606824576,1.8699374822836266,1.9395164819497717,15675800
2020-03-23,1.9656083583831787,2.0177926015370042,1.913424115229353,1.9917004799600915,10841100
2020-03-24,2.1569509506225586,2.191740448638767,2.069977205582038,2.1308588271104023,9094800
2020-03-25,2.278714418411255,2.3656883793911088,2.1482537879841517,2.2091354155168,13225500
2020-03-26,2.3048064708709717,2.3569907166798383,2.2700167663033004,2.2961090965694937,13087300
